"Window","Window Begin","Window End","Generations","Run Time","Eval Time","EA Time","Train Size","Train Pos","Train Neg","Test Size","Test Pos","Test Neg","Train Fitness","Test Fitness","Neurons","Connections"
0,"2018-05-30T14:25:28","2018-06-03T14:25:33",750,6.7769165,5.60206375,0.905260841666667,152051,52563,99488,38189,13462,24727,0.741314392984702,0.756634562406173,19,34
1,"2018-05-31T14:25:40","2018-06-04T14:25:42",1500,7.64174072916667,5.83401235416667,1.49656675833333,151330,52846,98484,39011,13862,25149,0.760006862394995,0.761707217122725,23,50
2,"2018-06-01T14:25:31","2018-06-05T14:25:40",2250,8.09587959583333,6.00238175,1.77375569166667,152865,54183,98682,37827,14462,23365,0.773025950163531,0.778086816611539,25,60
3,"2018-06-02T14:25:40","2018-06-06T14:25:33",3000,8.61060704583333,6.0156378875,2.2873442875,152281,55133,97148,34126,12023,22103,0.786298327860768,0.799708421102989,29,73
4,"2018-06-03T14:25:33","2018-06-07T14:25:36",3750,8.55138725416667,6.06721921666667,2.18876055416667,149154,53810,95344,31107,7772,23335,0.799192394301265,0.81607586214616,30,77
5,"2018-06-04T14:25:42","2018-06-08T14:25:33",4500,9.83345865,6.412798375,3.12402285,142072,48120,93952,30302,7695,22607,0.806050229137319,0.810738632220528,32,83
6,"2018-06-05T14:25:40","2018-06-09T14:25:30",5250,10.2640637583333,6.5998892625,3.36883110416667,133363,41953,91410,30205,7684,22521,0.815194881105237,0.803881019972775,34,90
7,"2018-06-06T14:25:33","2018-06-10T14:25:36",6000,9.73108120833333,6.36932525833333,3.0911052875,125741,35175,90566,29687,7524,22163,0.8152465553007,0.813995531644464,35,90
8,"2018-06-07T14:25:36","2018-06-11T14:25:31",6750,9.5434369375,6.18804665,3.09973260416667,121302,30676,90626,31565,11424,20141,0.816392534779107,0.793500724805214,33,74
9,"2018-06-08T14:25:33","2018-06-12T14:25:26",7500,9.3877134375,6.01956599166667,3.1172930375,121759,34327,87432,30596,8167,22429,0.807335764002321,0.813077647936544,35,73
